Date,Day_of_Year,Crop_Biomass_kg_ha,Weed_Biomass_kg_ha,Pest_Density_ind_m2,Bat_Population_ind_km2,Soil_Organic_Matter_pct,Growth_Phase
2023-03-07,65,490.91,-1.90,99.90,74.00,2.29,Seedling
2023-03-08,66,489.40,-2.12,99.90,74.00,2.29,Seedling
2023-03-09,67,488.00,-2.29,99.90,74.00,2.29,Seedling
2023-03-10,68,486.69,-2.41,99.90,73.00,2.29,Seedling
2023-03-11,69,485.49,-2.51,99.90,73.00,2.29,Seedling
2023-03-12,70,484.39,-2.57,99.90,73.00,2.29,Seedling
2023-03-13,71,483.40,-2.62,99.90,73.00,2.29,Seedling
2023-03-14,72,482.50,-2.64,100.00,73.00,2.29,Seedling
2023-03-15,73,481.70,-2.64,100.00,73.00,2.29,Seedling
2023-03-16,74,481.00,-2.63,100.00,73.00,2.29,Seedling
2023-03-17,75,480.39,-2.60,100.00,73.00,2.29,Seedling
2023-03-18,76,479.89,-2.57,100.00,73.00,2.29,Seedling
2023-03-19,77,479.48,-2.53,100.00,73.00,2.29,Seedling
2023-03-20,78,479.17,-2.48,100.00,73.00,2.29,Seedling
2023-03-21,79,478.96,-2.42,100.00,72.00,2.29,Seedling
2023-03-22,80,478.84,-2.36,100.00,72.00,2.29,Seedling
2023-03-23,81,478.82,-2.30,100.00,72.00,2.29,Seedling
2023-03-24,82,478.89,-2.23,100.00,72.00,2.29,Seedling
2023-03-25,83,479.06,-2.16,100.00,72.00,2.29,Seedling
2023-03-26,84,479.32,-2.09,100.00,72.00,2.29,Seedling
2023-03-27,85,479.68,-2.03,100.00,72.00,2.29,Seedling
2023-03-28,86,480.13,-1.96,100.00,72.00,2.29,Seedling
2023-03-29,87,480.67,-1.89,100.00,72.00,2.29,Seedling
2023-03-30,88,481.31,-1.82,100.00,72.00,2.29,Seedling
2023-03-31,89,482.04,-1.75,100.00,72.00,2.29,Seedling
2023-04-01,90,482.87,-1.68,100.00,72.00,2.29,Seedling
2023-04-02,91,483.79,-1.61,100.00,71.00,2.29,Seedling
2023-04-03,92,484.80,-1.55,100.00,71.00,2.29,Seedling
2023-04-04,93,485.91,-1.49,100.00,71.00,2.29,Seedling
2023-04-05,94,487.10,-1.43,100.00,71.00,2.29,Seedling
2023-04-06,95,488.40,-1.37,100.00,71.00,2.29,Seedling
2023-04-07,96,489.78,-1.31,100.00,71.00,2.29,Seedling
2023-04-08,97,491.26,-1.25,100.00,71.00,2.29,Seedling
2023-04-09,98,492.83,-1.20,100.00,71.00,2.29,Seedling
2023-04-10,99,494.49,-1.14,100.00,71.00,2.29,Seedling
2023-04-11,100,496.24,-1.09,100.00,71.00,2.29,Seedling
2023-04-12,101,498.16,-0.97,98.20,71.00,2.29,Seedling
2023-04-13,102,500.26,-0.86,96.30,71.00,2.29,Seedling
2023-04-14,103,502.57,-0.76,94.30,70.00,2.29,Seedling
2023-04-15,104,505.11,-0.68,92.30,70.00,2.29,Seedling
2023-04-16,105,507.87,-0.60,90.10,70.00,2.29,Seedling
2023-04-17,106,510.86,-0.53,87.80,70.00,2.29,Seedling
2023-04-18,107,514.10,-0.47,85.40,70.00,2.29,Seedling
2023-04-19,108,517.60,-0.42,82.80,70.00,2.29,Seedling
2023-04-20,109,521.36,-0.37,80.20,70.00,2.29,Seedling
2023-04-21,110,528.62,-0.32,77.50,70.00,2.29,Rapid Growth
2023-04-22,111,542.37,-0.28,74.70,69.00,2.29,Rapid Growth
2023-04-23,112,557.98,-0.25,71.90,69.00,2.29,Rapid Growth
2023-04-24,113,574.38,-0.22,69.10,69.00,2.29,Rapid Growth
2023-04-25,114,591.56,-0.19,66.30,69.00,2.29,Rapid Growth
2023-04-26,115,609.56,-0.17,63.60,69.00,2.29,Rapid Growth
2023-04-27,116,628.44,-0.14,61.00,69.00,2.29,Rapid Growth
2023-04-28,117,648.22,-0.12,58.50,69.00,2.29,Rapid Growth
2023-04-29,118,668.92,-0.11,56.10,68.00,2.29,Rapid Growth
2023-04-30,119,690.59,-0.09,54.00,68.00,2.29,Rapid Growth
2023-05-01,120,713.25,-0.08,52.00,68.00,2.29,Rapid Growth
2023-05-02,121,736.91,-0.07,50.20,68.00,2.29,Rapid Growth
2023-05-03,122,761.62,-0.05,48.70,68.00,2.29,Rapid Growth
2023-05-04,123,787.38,-0.05,47.40,68.00,2.29,Rapid Growth
2023-05-05,124,814.22,-0.04,46.40,67.00,2.28,Rapid Growth
2023-05-06,125,842.16,-0.03,45.50,67.00,2.28,Rapid Growth
2023-05-07,126,871.21,-0.03,45.00,67.00,2.28,Rapid Growth
2023-05-08,127,901.38,-0.02,44.70,67.00,2.28,Rapid Growth
2023-05-09,128,932.61,-0.02,44.60,67.00,2.28,Rapid Growth
2023-05-10,129,964.78,-0.01,44.90,67.00,2.28,Rapid Growth
2023-05-11,130,997.85,-0.01,45.30,67.00,2.28,Rapid Growth
2023-05-12,131,1031.83,-0.01,46.00,67.00,2.28,Rapid Growth
2023-05-13,132,1066.68,-0.01,47.00,66.00,2.28,Rapid Growth
2023-05-14,133,1102.39,-0.01,48.10,66.00,2.28,Rapid Growth
2023-05-15,134,1138.92,-0.00,49.50,66.00,2.28,Rapid Growth
2023-05-16,135,1176.26,-0.00,51.10,66.00,2.28,Rapid Growth
2023-05-17,136,1214.37,-0.00,53.00,66.00,2.28,Rapid Growth
2023-05-18,137,1253.22,-0.00,54.90,66.00,2.28,Rapid Growth
2023-05-19,138,1292.76,-0.00,57.10,66.00,2.28,Rapid Growth
2023-05-20,139,1332.97,-0.00,59.40,66.00,2.28,Rapid Growth
2023-05-21,140,1373.79,-0.00,62.10,66.00,2.28,Rapid Growth
2023-05-22,141,1415.07,-0.00,65.50,66.00,2.28,Rapid Growth
2023-05-23,142,1456.77,-0.00,68.80,66.00,2.28,Rapid Growth
2023-05-24,143,1498.87,-0.00,71.90,65.00,2.28,Rapid Growth
2023-05-25,144,1541.35,-0.00,74.80,65.00,2.28,Rapid Growth
2023-05-26,145,1584.22,-0.00,77.60,65.00,2.28,Rapid Growth
2023-05-27,146,1627.49,-0.00,80.10,65.00,2.28,Rapid Growth
2023-05-28,147,1671.18,-0.00,82.30,65.00,2.28,Rapid Growth
2023-05-29,148,1715.29,-0.00,84.40,65.00,2.28,Rapid Growth
2023-05-30,149,1759.84,-0.00,86.30,65.00,2.28,Rapid Growth
2023-05-31,150,1804.85,-0.00,88.00,65.00,2.28,Rapid Growth
2023-06-01,151,1850.34,-0.00,89.50,65.00,2.28,Rapid Growth
2023-06-02,152,1896.32,-0.00,90.80,65.00,2.28,Rapid Growth
2023-06-03,153,1942.82,-0.00,92.00,65.00,2.28,Rapid Growth
2023-06-04,154,1989.84,-0.00,93.00,65.00,2.28,Rapid Growth
2023-06-05,155,2037.40,-0.00,93.90,65.00,2.28,Rapid Growth
2023-06-06,156,2085.52,-0.00,94.70,65.00,2.28,Rapid Growth
2023-06-07,157,2134.21,-0.00,95.40,64.00,2.28,Rapid Growth
2023-06-08,158,2183.47,-0.00,96.00,64.00,2.28,Rapid Growth
2023-06-09,159,2233.32,-0.00,96.60,64.00,2.28,Rapid Growth
2023-06-10,160,2283.77,-0.00,97.00,64.00,2.28,Rapid Growth
2023-06-11,161,2334.81,-0.00,97.40,64.00,2.28,Rapid Growth
2023-06-12,162,2386.46,-0.00,97.80,64.00,2.28,Rapid Growth
2023-06-13,163,2438.71,-0.00,98.10,64.00,2.28,Rapid Growth
2023-06-14,164,2491.57,-0.00,98.40,64.00,2.28,Rapid Growth
2023-06-15,165,2545.16,-0.00,98.50,64.00,2.28,Rapid Growth
2023-06-16,166,2599.69,-0.00,96.00,64.00,2.28,Rapid Growth
2023-06-17,167,2655.81,-0.00,93.40,64.00,2.28,Rapid Growth
2023-06-18,168,2713.36,-0.00,90.70,64.00,2.28,Rapid Growth
2023-06-19,169,2772.55,-0.00,87.80,64.00,2.28,Rapid Growth
2023-06-20,170,2833.47,-0.00,84.80,63.00,2.28,Rapid Growth
2023-06-21,171,2896.22,-0.00,81.60,63.00,2.28,Rapid Growth
2023-06-22,172,2960.91,-0.00,78.20,63.00,2.28,Rapid Growth
2023-06-23,173,3027.63,-0.00,74.70,63.00,2.28,Rapid Growth
2023-06-24,174,3096.48,-0.00,71.10,63.00,2.28,Rapid Growth
2023-06-25,175,3167.56,-0.00,67.50,63.00,2.28,Rapid Growth
2023-06-26,176,3240.95,-0.00,63.70,63.00,2.28,Rapid Growth
2023-06-27,177,3316.72,-0.00,60.00,63.00,2.28,Rapid Growth
2023-06-28,178,3394.92,-0.00,56.30,62.00,2.28,Rapid Growth
2023-06-29,179,3475.60,-0.00,52.70,62.00,2.28,Rapid Growth
2023-06-30,180,3558.77,-0.00,49.30,62.00,2.28,Rapid Growth
2023-07-01,181,3644.42,-0.00,46.00,62.00,2.28,Rapid Growth
2023-07-02,182,3732.53,-0.00,42.90,62.00,2.28,Rapid Growth
2023-07-03,183,3823.04,-0.00,40.00,62.00,2.28,Rapid Growth
2023-07-04,184,3915.91,-0.00,37.40,61.00,2.28,Rapid Growth
2023-07-05,185,4011.03,-0.00,35.00,61.00,2.28,Rapid Growth
2023-07-06,186,4108.32,-0.00,32.90,61.00,2.28,Rapid Growth
2023-07-07,187,4207.65,-0.00,31.00,61.00,2.28,Rapid Growth
2023-07-08,188,4308.90,-0.00,29.40,61.00,2.28,Rapid Growth
2023-07-09,189,4411.93,-0.00,28.10,61.00,2.28,Rapid Growth
2023-07-10,190,4516.58,-0.00,27.00,60.00,2.28,Rapid Growth
2023-07-11,191,4622.71,-0.00,26.20,60.00,2.28,Rapid Growth
2023-07-12,192,4730.12,-0.00,25.60,60.00,2.28,Rapid Growth
2023-07-13,193,4838.66,-0.00,25.20,60.00,2.28,Rapid Growth
2023-07-14,194,4948.11,-0.00,25.10,60.00,2.28,Rapid Growth
2023-07-15,195,5058.30,-0.00,25.20,60.00,2.28,Rapid Growth
2023-07-16,196,5168.77,-0.00,25.50,60.00,2.28,Rapid Growth
2023-07-17,197,5278.86,0.00,26.10,59.00,2.27,Rapid Growth
2023-07-18,198,5388.21,-0.00,26.80,59.00,2.27,Rapid Growth
2023-07-19,199,5496.56,-0.00,27.80,59.00,2.27,Rapid Growth
2023-07-20,200,5603.65,-0.00,29.10,59.00,2.27,Rapid Growth
2023-07-21,201,5709.21,-0.00,30.60,59.00,2.27,Rapid Growth
2023-07-22,202,5812.93,-0.00,32.30,59.00,2.27,Rapid Growth
2023-07-23,203,5914.51,-0.00,34.20,59.00,2.27,Rapid Growth
2023-07-24,204,6013.67,-0.00,36.40,59.00,2.27,Rapid Growth
2023-07-25,205,6110.34,0.00,38.80,59.00,2.27,Rapid Growth
2023-07-26,206,6203.52,0.00,42.30,59.00,2.27,Rapid Growth
2023-07-27,207,6292.23,0.00,46.00,59.00,2.27,Rapid Growth
2023-07-28,208,6377.25,0.00,49.70,58.00,2.27,Rapid Growth
2023-07-29,209,6458.01,0.00,53.50,58.00,2.27,Rapid Growth
2023-07-30,210,6534.42,0.00,57.20,58.00,2.27,Rapid Growth
2023-07-31,211,6606.44,-0.00,60.80,58.00,2.27,Rapid Growth
2023-08-01,212,6674.08,0.00,64.30,58.00,2.27,Rapid Growth
2023-08-02,213,6737.40,0.00,67.70,58.00,2.27,Rapid Growth
2023-08-03,214,6796.49,-0.00,70.90,58.00,2.27,Rapid Growth
2023-08-04,215,6851.45,-0.00,73.90,58.00,2.27,Rapid Growth
2023-08-05,216,6902.44,0.00,76.60,58.00,2.27,Rapid Growth
2023-08-06,217,6949.61,0.00,79.20,58.00,2.27,Rapid Growth
2023-08-07,218,6993.15,-0.00,81.60,58.00,2.27,Rapid Growth
2023-08-08,219,7033.23,0.00,83.70,58.00,2.27,Rapid Growth
2023-08-09,220,7070.04,0.00,85.70,58.00,2.27,Rapid Growth
2023-08-10,221,7103.75,-0.00,87.40,58.00,2.27,Rapid Growth
2023-08-11,222,7134.56,-0.00,89.00,58.00,2.27,Rapid Growth
2023-08-12,223,7162.62,0.00,90.40,58.00,2.27,Rapid Growth
2023-08-13,224,7188.09,0.00,91.60,58.00,2.27,Rapid Growth
2023-08-14,225,7211.12,-0.00,92.70,57.00,2.27,Rapid Growth
2023-08-15,226,7231.86,-0.00,93.60,57.00,2.27,Rapid Growth
2023-08-16,227,7250.42,0.00,94.50,57.00,2.27,Rapid Growth
2023-08-17,228,7266.93,0.00,95.20,57.00,2.27,Rapid Growth
2023-08-18,229,7281.48,-0.00,95.80,57.00,2.27,Rapid Growth
2023-08-19,230,7285.58,-0.00,96.10,57.00,2.27,Maturation
2023-08-20,231,7267.14,0.00,95.70,57.00,2.27,Maturation
2023-08-21,232,7238.59,0.00,94.80,57.00,2.27,Maturation
2023-08-22,233,7211.40,-0.00,93.90,57.00,2.27,Maturation
2023-08-23,234,7184.75,0.00,92.80,57.00,2.27,Maturation
2023-08-24,235,7158.65,0.00,91.60,57.00,2.27,Maturation
2023-08-25,236,7133.23,-0.00,90.30,57.00,2.27,Maturation
2023-08-26,237,7108.56,-0.00,88.80,57.00,2.27,Maturation
2023-08-27,238,7084.72,-0.00,87.20,57.00,2.27,Maturation
2023-08-28,239,7061.79,0.00,85.50,57.00,2.27,Maturation
2023-08-29,240,7039.82,0.00,83.70,56.00,2.27,Maturation
2023-08-30,241,7018.85,-0.00,81.90,56.00,2.27,Maturation
2023-08-31,242,6998.92,-0.00,80.00,56.00,2.27,Maturation
2023-09-01,243,6980.03,0.00,78.00,56.00,2.27,Maturation
2023-09-02,244,6962.17,0.00,76.10,56.00,2.27,Maturation
2023-09-03,245,6945.31,-0.00,74.20,56.00,2.27,Maturation
2023-09-04,246,6929.40,-0.00,72.30,56.00,2.27,Maturation
2023-09-05,247,6914.37,0.00,70.50,56.00,2.27,Maturation
2023-09-06,248,6900.13,0.00,68.80,56.00,2.27,Maturation
2023-09-07,249,6886.57,-0.00,67.20,56.00,2.27,Maturation
2023-09-08,250,6873.57,-0.00,65.80,55.00,2.27,Maturation
2023-09-09,251,6860.99,0.00,64.50,55.00,2.27,Maturation
2023-09-10,252,6848.68,0.00,63.40,55.00,2.27,Maturation
2023-09-11,253,6836.49,-0.00,62.50,55.00,2.27,Maturation
2023-09-12,254,6824.25,-0.00,61.80,55.00,2.27,Maturation
2023-09-13,255,6811.80,0.00,61.30,55.00,2.27,Maturation
2023-09-14,256,6798.95,0.00,61.00,55.00,2.27,Maturation
2023-09-15,257,6785.53,-0.00,61.00,55.00,2.27,Maturation
2023-09-16,258,6771.39,0.00,61.10,55.00,2.27,Maturation
2023-09-17,259,6756.34,0.00,61.50,55.00,2.27,Maturation
2023-09-18,260,6740.23,-0.00,62.00,55.00,2.27,Maturation
2023-09-19,261,6722.91,-0.00,62.80,54.00,2.27,Maturation
2023-09-20,262,6704.23,0.00,63.80,54.00,2.27,Maturation
2023-09-21,263,6684.07,0.00,64.90,54.00,2.27,Maturation
2023-09-22,264,6662.31,-0.00,66.20,54.00,2.27,Maturation
2023-09-23,265,6638.85,0.00,67.60,54.00,2.27,Maturation
2023-09-24,266,6613.61,0.00,69.20,54.00,2.27,Maturation
2023-09-25,267,6586.54,-0.00,70.80,54.00,2.27,Maturation
2023-09-26,268,6557.59,-0.00,72.50,54.00,2.27,Maturation
2023-09-27,269,6526.74,0.00,74.30,54.00,2.27,Maturation
2023-09-28,270,0.00,-0.00,76.20,54.00,2.27,Post-harvest
2023-09-29,271,0.00,-0.00,78.40,54.00,2.27,Post-harvest
2023-09-30,272,0.00,0.00,80.90,54.00,2.27,Post-harvest
2023-10-01,273,0.00,0.00,83.10,54.00,2.27,Post-harvest
2023-10-02,274,0.00,-0.00,85.10,54.00,2.27,Post-harvest
2023-10-03,275,0.00,-0.00,86.90,54.00,2.27,Post-harvest
2023-10-04,276,0.00,0.00,88.50,54.00,2.27,Post-harvest
2023-10-05,277,0.00,0.00,89.90,53.00,2.27,Post-harvest
2023-10-06,278,0.00,-0.00,91.20,53.00,2.27,Post-harvest
2023-10-07,279,0.00,-0.00,92.40,53.00,2.27,Post-harvest
2023-10-08,280,0.00,0.00,93.30,53.00,2.27,Post-harvest
2023-10-09,281,0.00,0.00,94.20,53.00,2.27,Post-harvest
2023-10-10,282,0.00,-0.00,95.00,53.00,2.27,Post-harvest
2023-10-11,283,0.00,-0.00,95.70,53.00,2.27,Post-harvest
2023-10-12,284,0.00,0.00,96.20,53.00,2.27,Post-harvest
2023-10-13,285,0.00,0.00,96.70,53.00,2.27,Post-harvest
2023-10-14,286,0.00,-0.00,97.20,53.00,2.27,Post-harvest
2023-10-15,287,0.00,-0.00,97.60,53.00,2.27,Post-harvest
2023-10-16,288,0.00,0.00,97.90,53.00,2.27,Post-harvest
2023-10-17,289,0.00,0.00,98.20,53.00,2.27,Post-harvest
2023-10-18,290,0.00,0.00,98.40,53.00,2.27,Post-harvest
2023-10-19,291,0.00,-0.00,98.70,53.00,2.27,Post-harvest
2023-10-20,292,0.00,-0.00,98.80,53.00,2.27,Post-harvest
2023-10-21,293,0.00,0.00,99.00,53.00,2.27,Post-harvest
2023-10-22,294,0.00,0.00,99.10,53.00,2.27,Post-harvest
2023-10-23,295,0.00,0.00,99.30,53.00,2.27,Post-harvest
2023-10-24,296,0.00,-0.00,99.40,52.00,2.27,Post-harvest
2023-10-25,297,0.00,0.00,99.40,52.00,2.27,Post-harvest
2023-10-26,298,0.00,0.00,99.50,52.00,2.27,Post-harvest
2023-10-27,299,0.00,-0.00,99.60,52.00,2.27,Post-harvest
2023-10-28,300,0.00,-0.00,99.60,52.00,2.27,Post-harvest
2023-10-29,301,0.00,-0.00,99.70,52.00,2.27,Post-harvest
2023-10-30,302,0.00,0.00,99.70,52.00,2.27,Post-harvest
2023-10-31,303,0.00,0.00,99.80,52.00,2.27,Post-harvest
2023-11-01,304,0.00,-0.00,99.80,52.00,2.27,Post-harvest
2023-11-02,305,0.00,-0.00,99.80,52.00,2.27,Post-harvest
2023-11-03,306,0.00,0.00,99.90,52.00,2.27,Post-harvest
2023-11-04,307,0.00,0.00,99.90,52.00,2.27,Post-harvest
2023-11-05,308,0.00,-0.00,99.90,52.00,2.27,Post-harvest
2023-11-06,309,0.00,-0.00,99.90,52.00,2.27,Post-harvest
2023-11-07,310,0.00,0.00,99.90,52.00,2.27,Post-harvest
2023-11-08,311,0.00,0.00,99.90,52.00,2.27,Post-harvest
2023-11-09,312,0.00,-0.00,99.90,52.00,2.27,Post-harvest
2023-11-10,313,0.00,-0.00,99.90,52.00,2.27,Post-harvest
2023-11-11,314,0.00,0.00,100.00,52.00,2.27,Post-harvest
2023-11-12,315,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-13,316,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-14,317,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-15,318,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-16,319,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-17,320,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-18,321,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-19,322,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-20,323,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-21,324,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-22,325,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-23,326,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-24,327,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-25,328,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-26,329,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-27,330,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-11-28,331,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-29,332,0.00,-0.00,100.00,51.00,2.27,Post-harvest
2023-11-30,333,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-12-01,334,0.00,0.00,100.00,51.00,2.27,Post-harvest
2023-12-02,335,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-03,336,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-04,337,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-05,338,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-06,339,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-07,340,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-08,341,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-09,342,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-10,343,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-11,344,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-12,345,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-13,346,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-14,347,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-15,348,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-16,349,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-17,350,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-18,351,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-19,352,0.00,-0.00,100.00,50.00,2.27,Post-harvest
2023-12-20,353,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-21,354,0.00,0.00,100.00,50.00,2.27,Post-harvest
2023-12-22,355,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2023-12-23,356,0.00,0.00,100.00,49.00,2.27,Post-harvest
2023-12-24,357,0.00,0.00,100.00,49.00,2.27,Post-harvest
2023-12-25,358,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2023-12-26,359,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2023-12-27,360,0.00,0.00,100.00,49.00,2.27,Post-harvest
2023-12-28,361,0.00,0.00,100.00,49.00,2.27,Post-harvest
2023-12-29,362,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2023-12-30,363,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2023-12-31,364,0.00,-0.00,100.00,49.00,2.27,Post-harvest
2024-01-01,365,0.00,0.00,100.00,49.00,2.27,Post-harvest
